sentence,relation,head,head_offset,head_type,tail,tail_offset,tail_type
本篇适用于焊接结构的钢质海上航行船舶,制约,本篇,0,成果,钢质海上航行船舶,10,建筑
本篇适用于焊接结构的钢质海上航行船舶,定义,钢质海上航行船舶,10,建筑,焊接结构,5,施工
船体还应满足第1篇的适用要求,制约,船体,0,建筑,适用要求,10,成果
船体还应满足第1篇的适用要求,定义,适用要求,10,成果,第1篇,6,成果
"船长L(m):沿夏季载重水线,由首柱前缘量至舵柱后缘的长度;对无舵柱的船舶,由首柱前缘量至舵杆中心线的长度;但均不应小于夏季载重水线总长的96%,且不必大于97%",定义,船长,0,属性,长度,27,属性
"船宽B(m):在船舶的最宽处,由一舷的肋骨外缘量至另一舷的肋骨外缘之间的水平距离",定义,船宽,0,属性,水平距离,36,属性
"型深D(m):在船长中点处,沿船舷由平板龙骨上缘量至上层连续甲板横梁上缘的垂直距离;对甲板转角为圆弧形的船舶,则由平板龙骨上缘量至横梁上缘延伸线与肋骨外缘延伸线的交点",定义,型深,0,属性,垂直距离,37,属性
"吃水d(m):在船长中点处,由平板龙骨上缘量至夏季载重线的垂直距离",定义,吃水,0,属性,垂直距离,29,属性
上层连续甲板:船体的最高一层全通甲板,定义,上层连续甲板,0,施工,全通甲板,14,施工
"下甲板:上层连续甲板以下第1层连续甲板为第2甲板,依次向下为第3甲板......,总称为下甲板",定义,下甲板,0,施工,连续甲板,15,施工
"下甲板:上层连续甲板以下第1层连续甲板为第2甲板,依次向下为第3甲板......,总称为下甲板",方位,下甲板,0,施工,上层连续甲板,4,施工
舱壁甲板:各水密横舱壁上伸到达的连续甲板,定义,舱壁甲板,0,施工,连续甲板,16,施工
舱壁甲板:各水密横舱壁上伸到达的连续甲板,连接,水密横舱壁,6,施工,舱壁甲板,0,施工
干舷甲板:按«1966年国际载重线公约»量计干舷高度的甲板,定义,干舷甲板,0,施工,甲板,27,施工
"平台甲板:强力甲板以下,不计入船体总纵强度的不连续甲板",定义,平台甲板,0,施工,不连续甲板,22,施工
"平台甲板:强力甲板以下,不计入船体总纵强度的不连续甲板",方位,平台甲板,0,施工,强力甲板,5,施工
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",定义,上层建筑,0,建筑,围蔽建筑,46,建筑
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",方位,上层建筑,0,建筑,上层连续甲板,9,施工
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",包含,上层建筑,0,建筑,首楼,57,空间
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",包含,上层建筑,0,建筑,桥楼,60,空间
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",包含,上层建筑,0,建筑,尾楼,63,空间
"上层建筑及甲板室:上层连续甲板上,由一舷伸至另一舷的或其侧壁板离船壳板向内不大于4%船宽B的围蔽建筑为上层建筑,即首楼、桥楼、尾楼",定义,甲板室,5,空间,围蔽建筑,69,建筑
