lexicon,label
半悬挂舵,施工
倒角圆弧半径,属性
舵板厚度,属性
船体结构钢,施工
黑色金属材料,施工
一般强度船体结构钢,施工
高强度船体结构钢,施工
船体结构钢韧性等级,属性
球扁钢,施工
型钢,施工
L型钢,施工
焊接错链钢,施工
耐压壳体钢板,施工
耐海水结构钢,施工
耐海水不锈钢,施工
耐海洋大气结构钢,施工
铁素体低温钢,施工
低磁钢,施工
向钢,施工
复合钢,施工
船体结构用铸钢,施工
船体结构用锻钢,施工
船舶机械用锻钢,施工
船舶机械用铸钢,施工
船舶轴系用钢,施工
铸造错链钢,施工
有色金属材料,施工
定义或说明,施工
船用铝合金,施工
变形铝合金,施工
铸造铝合金,施工
铝镁合金,施工
铝锌镁合金,施工
铝镁硅合金,施工
超低温用铝合金,施工
铝合金整体挤压壁板,施工
船用铜合金,施工
变形铜合金,施工
铸造铜合金,施工
蛭旋桨用铸造铜合金,施工
高阻尼铜合金,施工
船用钦合金,施工
牺牲阳极材料,施工
辅助阳极材料,施工
焊接材料,施工
船用焊条,施工
低氢焊条,施工
超低氢焊条,施工
高效焊条,施工
铁粉焊条,施工
重力焊条,施工
深熔焊条,施工
立向下焊条,施工
船用焊丝,施工
埋弧焊丝,施工
气体保护焊丝,施工
药芯焊丝,施工
铜合金焊丝,施工
铝合金焊丝,施工
船用焊剂,施工
保护气体,施工
涂料,施工
船舶涂料,施工
船底涂料,施工
船底防锈涂料,施工
船底防污涂料,施工
木船防污涂料,施工
自抛光防污涂料,施工
水线涂料,施工
船壳涂料,施工
枪杆涂料,施工
错链涂料,施工
甲板涂料,施工
防滑甲板涂料,施工
饮水舱涂料,施工
机舱涂料,施工
油舱涂料,施工
阳极屏蔽层涂料,施工
声纳导流罩涂料,施工
水下施工涂料,施工
防火涂料,施工
厚膜涂料,施工
车间底漆,施工
磷化底漆,施工
富锌底漆,施工
带锈底漆,施工
其它非金属材料,施工
玻璃纤维增强塑料,施工
碳纤维增强塑料,施工
芳纶纤维增强塑料,施工
混杂纤维增强塑料,施工
泡沫塑料,施工
围裙材料,施工
固体浮力材料,施工
微波吸收材料,施工
非金属阻力材料,施工
水声反声材料,施工
水声吸声材料,施工
水声透声材料,施工
水下胶粘剂,施工
密封材料,施工
铁梨木,施工
酚醛桦木层压板,施工
单层底船,建筑
双层底船,建筑
舭肘板,施工
遮蔽板,施工
活动铺板,施工
舭部污水沟,施工
沥青化合物,施工
双层底柜,施工
货舱口,进程
内底板,施工
木铺板,施工
双层底柜顶板,施工
轴隧顶板,施工
沥青溶液,施工
甲板敷料,施工
船用隔热材料,施工
船用胶合板,施工
不燃材料,施工
船用防火板材,施工
材料性能,属性
金属材料性能,属性
抗拉强度,属性
断面收缩率,属性
断后伸长率,属性
冲击吸收功,属性
冲击韧度,属性
脆性断裂,属性
延性断裂,属性
低温脆性,属性
断口形貌转变温度,属性
无塑性转变温度,属性
塑性断裂转变温度,属性
弹性断裂转变温度,属性
止裂温度,属性
层状撕裂,属性
纤维断面率,属性
应变时效,属性
焊接性,属性
涂层间附着力,属性
耐阴极剥离性,属性
渗毒率,属性
临界渗毒率,属性
耐盐水性,属性
防污性,属性
耐盐雾性,属性
耐海水性,属性
耐干湿交替性,属性
老化,属性
吸水性,属性
湿态强度,属性
层间剪切强度,属性
层间拉伸强度,属性
层间韧性,属性
待久强度极限,属性
耐燃性,属性
吸湿率,属性
憎水性,属性
持久强度极限,属性
非金属阻尼材料,施工
酚醒桲木层压板,施工
焊接描链钢,施工
抗裂性,属性
螺旋桨用铸造铜合金,施工
铀链涂料,施工
碳当量,属性
槐杆涂料,施工
锚泊设备,施工
锚头,施工
锚卸扣,施工
锚爪折角,进程
锚爪袭角,进程
抓重比,属性
锚啮入性,属性
锚抓力,属性
锚索,施工
锚缆,施工
锚链,施工
链径,施工
链节,施工
锚链等级,属性
锚端链节,施工
味端链节,施工
脱钩链节,施工
末端卸扣,施工
转环卸扣,施工
掣链器,施工
攀锚器,施工
掣链钩,施工
锚链简,施工
锚链管,施工
吊锚杆,施工
吊锚索具,施工
导链滚轮,施工
锚浮标,施工
系泊设备,施工
带缆桩,施工
带缆羊角,施工
导缆器,施工
导缆钳,施工
导向滚轮,施工
滚柱导缆器,施工
滚轮导缆器,施工
导缆孔,施工
巴拿马运河导缆孔,施工
圣劳伦斯航道导缆器,施工
掣索器,施工
缆索卷车,施工
缆索盘,施工
缆索,施工
系缆索,施工
拖缆,施工
浮筒卸扣,施工
船,建筑
船舶,建筑
轮,建筑
艇,建筑
筏,建筑
军船,建筑
军用船,建筑
民船,建筑
民用船,建筑
商船,建筑
运输船,建筑
工程船,建筑
工作船,建筑
海洋调查船,建筑
海洋开发船,建筑
渔业船,建筑
农用船,建筑
海船,建筑
海洋船,建筑
极区船,建筑
极地船,建筑
远洋船,建筑
沿海船,建筑
江海直达船,建筑
海峡船,建筑
海峡渡船,建筑
内河船,建筑
排水型船,建筑
浮型船,建筑
排水量船,建筑
半潜船,建筑
全潜船,建筑
潜水船,建筑
滑行艇,建筑
地效应船,建筑
地效翼船,建筑
飞翼船,建筑
气垫船,建筑
翱翔艇,建筑
腾空船,建筑
水翼艇,建筑
机动船,建筑
自航船,建筑
轮船,建筑
非机动船,建筑
非自航船,建筑
无动力船,建筑
核动力船,建筑
原子能船,建筑
内燃机船,建筑
柴油机船,建筑
汽轮机船,建筑
燃气轮机船,建筑
电力推进船,建筑
帆船,建筑
风帆船,建筑
机帆船,建筑
螺旋桨船,建筑
平旋推进器船,建筑
直翼推进器船,建筑
喷水推进船,建筑
喷水艇,建筑
喷气推进船,建筑
平甲板船,建筑
全通甲板船,建筑
长艏楼船,建筑
长艉楼船,建筑
中机型船,建筑
艉机型船,建筑
单体船,建筑
双体船,建筑
多体船,建筑
小水线面船,建筑
艏升高甲板船,建筑
升高艏甲板船,建筑
艉升高甲板船,建筑
升高艉甲板船,建筑
单甲板船,建筑
双甲板船,建筑
多甲板船,建筑
单壳体船,建筑
双壳体船,建筑
平底船,建筑
钢质船,建筑
木质船,建筑
轻合金船,建筑
玻璃钢船,建筑
玻璃钢艇,建筑
小艇,建筑
赛艇,建筑
运动艇,建筑
游艇,建筑
舢板,施工
趸船,建筑
浮箱,施工
船级,属性
船级社,进程
国际船级社协会,进程
入级,进程
入级检验,进程
入级符号,进程
入级标志,进程
船舶入级和建造规范,成果
入级证书,进程
国际海事组织,进程
国际船舶载重线公约,成果
国际海上人命安全公约,成果
国际海上避碰规则,成果
国际船舶吨位丈量公约,成果
国际防止船舶造成污染公约,成果
国际集装箱安全公约,成果
国际散装运输危险化学品船舶构造与设备规则,成果
国际散装运输液化气体船舶构造与设备规则,成果
苏伊士运河航行规则,成果
巴拿马运河航行规则,成果
圣劳伦斯航道共同规则,成果
五大湖航行规则,成果
船旗国,进程
船籍港,进程
法定检验,进程
国际船舶载重线证书,成果
客船安全证书,成果
货船构造安全证书,成果
货船设备安全证书,成果
货船无线电安全证书,成果
国际船舶保安证书,成果
货船安全证书,成果
免除证书,成果
国际吨位证书,成果
国际防止油污证书,成果
国际防止散装运输有毒液体物质污染证书,成果
国际防止生活污水污染证书,成果
国际散装运输液化气体适装证书,成果
国际散装运输危险化学品适装证书,成果
船舶国籍证书,成果
苏伊士运河专用吨位证书,成果
巴拿马运河吨位证书,成果
圣劳伦斯航道证书,成果
岸线,进程
放样设施,施工
涂装设施,施工
起重设施,施工
活络胎架,施工
沙坑,施工
船台,施工
倾斜船台,施工
水平船台,施工
半坞式船台,施工
露天船台,施工
室内船台,施工
船台小车,施工
自动船台小车,施工
电缆车,施工
拉桩,施工
连续式拉桩,施工
船台中心线板,施工
墩木,施工
龙骨增,施工
龙骨墩,施工
边墩,施工
般墩,施工
井字墩,施工
砂箱墩,施工
活络钢墩,施工
下水墩,施工
木樱,施工
铁樱,施工
船台坡度,属性
滑道,施工
纵向滑道,施工
横向滑道,施工
钢珠滑道,施工
舭墩,施工
木楔,施工
铁楔,施工
牵引式滑道,施工
油脂滑道,施工
直线滑道,施工
折线滑道,施工
弧形滑道,施工
两支点滑道,施工
船排滑道,施工
斜船架滑道,施工
横向梳式滑道,施工
横向高低轨滑道,施工
横向高低腿滑道,施工
下水翻转滑道,施工
滑道摇架,施工
滑道转盘,施工
下水车,施工
斜船架,施工
随船架,施工
船排,施工
下水油版,施工
下水油脂,施工
滑板,施工
下水横梁,施工
下水横粱,施工
下水支架,施工
蜡支架,施工
艏支架,施工
舰支架,施工
艉支架,施工
滑道坡度,属性
滑道间距,属性
滑道间距增量,属性
滑道末端水深,属性
滑道末端凹口,进程
平均线负荷,进程
过渡段,进程
横移区,空间
横移坑,施工
横移车,施工
止滑器,施工
保险撑,施工
下水制动装置,施工
升船机,施工
浮力升船机,施工
船用气囊,施工
船坞,施工
注水式船坞,施工
串联式船坞,施工
运河式船坞,施工
坞首,施工
坞口,进程
引船驳岸,施工
坞壁,施工
坞壁作业车,施工
坞底,施工
坞室,施工
坞坎,施工
门墩,施工
门槽,施工
坞门,施工
浮箱式坞门,施工
横拉式坞门,施工
横拉式坞,施工
人字式坞,施工
人字式坞门,施工
卧倒式坞门,施工
插板式坞门,施工
插板式坞,施工
叠梁式坞门,施工
推进式坞门,施工
单门式坞门,施工
修理,进程
修理门槽,施工
门坑,施工
门库,施工
廊道,施工
坞墩,施工
船坞引船车,施工
船坞水泵站,施工
进坞重量,属性
搁墩负荷,进程
浮船坞,施工
整体式浮船坞,施工
泵舱,空间
浮箱式浮船坞,施工
三段式浮船坞,施工
分体式浮船坞,施工
修船浮筒,施工
坞墙,施工
坞墙顶甲板,施工
安全甲板,施工
抬船甲板,施工
浮体,施工
浮船坞飞桥,施工
浮船坞总长,属性
浮体长,属性
坞体型宽,属性
坞内净宽,属性
浮船坞举力,属性
空坞吃水,属性
工作吃水,属性
最大沉深吃水,属性
空坞排水量,属性
浮船坞配载,属性
浮船坞挠度,属性
适坞性,属性
系坞墩,施工
沉坞坑,施工
浮船坞支墩,施工
浮船坞试验压,进程
浮船坞试验,进程
码头,施工
安装码头,施工
航装码头,施工
舾装码头,施工
试车码头,施工
靠船墩,施工
系船桩,施工
风暴缆桩,施工
登船梯,施工
船月,施工
叠粱式坞门,施工
井宇墩,施工
连续武拄棱,施工
疏浚,进程
疏浚点,进程
挖泥船,建筑
疏浚用船,建筑
疏浚船队,进程
疏浚设备,施工
疏浚工具,施工
吸管桥架,施工
链斗桥架,施工
吊架,施工
卸泥装置,施工
定位桩装置,施工
波浪补偿器,施工
自航挖泥船,建筑
非自航挖泥船,建筑
有限推进挖泥船,建筑
多用途挖泥船,建筑
组合式挖泥船,建筑
定位与移位设备,施工
挖槽,进程
挖泥机具,施工
真空释放阀,施工
装舱,进程
卸泥,进程
卸舱,进程
泥阱,施工
除气装置,施工
高压冲水泵,施工
高压冲水管,施工
吸扬挖泥船,建筑
喷射泵挖泥船,建筑
气力提升挖泥船,建筑
链斗挖泥船,建筑
正铲挖泥船,建筑
反铲挖泥船,建筑
抓斗挖泥船,建筑
拉铲挖泥船,建筑
绞吸挖泥船,建筑
带泥舱挖泥船,建筑
碎石船,建筑
落锤式碎石船,建筑
动力锤式碎石船,建筑
钻孔船,建筑
喷水挖泥船,建筑
河床平整器,建筑
冲吸挖泥船,建筑
耙吸挖泥船,建筑
对开耙吸挖泥船,建筑
边抛耙吸挖泥船,建筑
吸盘挖泥船,建筑
斗轮挖泥船,建筑
吹泥船,建筑
吸泥船,建筑
链斗自扬挖泥船,建筑
排泥管路,施工
排泥浮管,施工
浮筒,施工
水下管路,施工
扩散口,进程
排出喷口,进程
泥驳,进程
驳运泥土,进程
溜泥槽,进程
溜槽输泥,进程
泥井,施工
转向副翼,施工
输送带,施工
输送带输泥,进程
泥舱,空间
溢流装置,施工
底排口,进程
泥门启闭装置,施工
对开船体,空间
石块收集器,施工
分离筛,施工
泥舱溜泥槽,施工
水分离器,施工
开底泥驳,施工
对开泥驳,施工
抛石驳,施工
泥门,施工
洒水管道,施工
十字环支架,施工
环形接头,施工
伸缩接头,施工
填料函,施工
泥舱稀释装置,施工
排泥管接岸装置,施工
自浮泥管,施工
转动弯管,施工
边抛装置,施工
