lexicon,label
中纵剖面,进程
化学成份,属性
舷门,施工
拖力眼板,施工
甲板,施工
抛物线形,进程
铰孔螺栓,施工
短上层建筑,建筑
T型,施工
干货船,建筑
吸口,施工
中桁材,施工
开口角隅,进程
导缆器,施工
化学品船,建筑
规范,成果
结构屈曲强度,属性
施焊,成果
支撑构件,施工
螺母,施工
泵,施工
通风筒,施工
局部桁材,施工
甲板间肋骨,施工
抗屈曲失效,属性
桁材,施工
内底板,施工
端壁板,施工
木铺板,施工
直线,进程
高度,属性
圆形,进程
其他类型,状态
上部,进程
钢质箱型,状态
机舱棚,空间
导缆孔,施工
底部旁桁材,施工
尺寸,属性
尾框架,施工
支撑肘板,施工
结构屈服,属性
船体支撑结构,建筑
支架,施工
延伸构件,施工
主机基座,施工
水平隔板,施工
首锚,施工
潜水器吊放系统,施工
货舱,空间
孔,施工
试验,进程
中部外板,施工
材料,施工
处所,空间
不连续甲板,施工
边缘,进程
实心锻钢,施工
纵桁外侧,施工
平面舱壁,施工
剖面,进程
固定点,进程
舱壁甲板,施工
水平加强筋,施工
密封装置,施工
剖面形状,进程
栏杆,施工
直升机甲板结构,施工
强力端,进程
轻型肋板,施工
次要构件,施工
嵌入板,施工
升降运行设备,施工
内端,进程
高强度钢角,施工
海水进口,进程
系船索,施工
加强,状态
深舱,空间
强横梁,施工
球鼻首,施工
对称轴,施工
倒角,施工
舷墙板,施工
板材钢级,属性
横剖面,进程
舷侧纵骨,施工
转叶式舵机,施工
资料,进程
结构,施工
底部肋板,施工
木条,施工
材料与焊接规范,成果
化学敷料,施工
水密结构,施工
非水密肋板,施工
抓斗,施工
过渡区,空间
装卸,进程
加筋,施工
巡洋舰,建筑
尾框底骨,施工
铸件,施工
剖面模数,属性
尾尖舱舱壁,施工
壁板,施工
铸钢承座实心体,施工
锚链,施工
专用机械,施工
构件,施工
焊接材料,施工
相等,状态
深舱舱壁,施工
有杆,状态
操作,进程
焊缝面积,属性
等效应力,进程
位置2,进程
骨架,施工
骨材,施工
圆弧形,进程
船体骨架,施工
顶甲板,施工
质量,属性
结构形式,进程
液货船应急拖带,施工
键槽,施工
连接件,施工
升高甲板,施工
船端,建筑
尾柱,施工
轴隧顶板,施工
系泊,进程
紧固端,进程
油船,建筑
高强度钢,施工
双面连续焊缝,施工
最小高度,属性
台阶处,施工
装置,施工
舱壁扶强材,施工
转舵机构,施工
船首,建筑
作业用绞车,施工
机舱,空间
钢板焊接,成果
主肋骨,施工
首柱,施工
露天钢甲板,施工
透气孔,施工
圆弧半径,属性
舷顶列板,施工
船底纵骨,施工
强力甲板纵骨,施工
舷弧,施工
缆车,施工
破断负荷,进程
塞焊,成果
舭部,施工
横梁腹板,施工
船宽,属性
加厚,状态
横骨架式,施工
空心矩形剖面支柱,施工
对称槽形舱壁,施工
长甲板室,空间
单层底船,建筑
轻型吊杆装置,施工
集中载荷,进程
垂直肘板,施工
板,施工
椭圆形,进程
钢质海上航行船舶,建筑
制造,进程
减轻孔,施工
连接处,进程
最大服务航速,属性
硬质末端眼环,施工
开孔平台,施工
弦长,属性
滚柱,施工
舱口甲板纵桁,施工
舭部纵骨,施工
桅杆结构,施工
轻型吊杆,施工
向首尾端,施工
纵骨腹板,施工
支臂,施工
纵骨架式,施工
舱顶,施工
面板,施工
螺栓,施工
塞焊焊接,成果
通道口,进程
作业载荷,进程
入孔盖,施工
受力点,进程
车辆运输船,建筑
船尾部,建筑
钢甲板,施工
加强结构,施工
钢丝,施工
起重船,建筑
母材,施工
低氢焊接材料,施工
圆弧舷板,施工
开孔,施工
强肋骨,施工
面板厚度,属性
桅肩,施工
首楼,空间
双层木铺板,施工
板材,施工
双层板舱壁,施工
绝缘,状态
中断区域,空间
连接螺栓,施工
焊接点,进程
曲度,属性
推进器柱,施工
正常拖带,施工
舱壁底列板,施工
船体结构钢,施工
起重设备,施工
普通甲板间肋骨,施工
直升机甲板,施工
救生筏,施工
圆角,进程
液货船,建筑
连续,状态
垂直距离,属性
装载率,属性
处舱壁板,施工
散装干货,进程
平台甲板,施工
钢板钢级,属性
内底骨材,施工
焊接件材料,施工
设置,进程
螺栓孔,施工
焊接工艺,属性
桅杆,施工
舷侧板,施工
衔接,进程
组合肋板,施工
最大间距,属性
计算应力,进程
支撑舵,施工
着地承载面积,属性
甲板间舱,空间
挡风板,施工
载重线船长,属性
削斜,状态
甲板开口,进程
垂直构件,施工
登乘梯,施工
焊接结构,施工
舭龙骨,建筑
货舱开口,进程
固定锚机,施工
错开,状态
标志,成果
力学性能,属性
焊接,进程
两端,进程
撑柱,施工
剖面优化加强型,状态
入孔,施工
槽形舱壁,施工
千斤索眼板,施工
制荡舱壁,施工
长度,属性
厚板,施工
切口高度,属性
安装处,进程
端肘板,施工
首楼保护,状态
平台板,施工
近海供应船,建筑
总重量,属性
弓形卸扣,施工
上浪载荷,进程
深油舱,空间
舵柄,施工
国际标准,成果
螺纹,施工
倾斜,状态
转轴,施工
干舷甲板,施工
加强筋,施工
甲板配件,施工
货舱区域,空间
高腹板横梁,施工
端点,进程
人孔,施工
甲板板厚度,属性
舵枢,施工
铝合金,施工
强度,属性
承座,施工
外板,施工
肋板,空间
平顶形,进程
升高甲板区,空间
自重,属性
尾尖舱,空间
拖带,施工
系泊绞车,施工
液舱,空间
横舱壁,施工
支柱,施工
舱口边线,进程
露天甲板,施工
实心体,进程
肋位,施工
舵叶,施工
植物纤维,施工
扶强材,施工
尾轴管,施工
活动铺板,施工
构造,进程
连续甲板,施工
救生艇,施工
管系,施工
工况,属性
腹板,施工
主要结构,施工
长孔塞焊,成果
固定垫板,施工
舱口端梁,施工
缺口处,进程
围蔽建筑,建筑
半平衡舵,施工
剖面惯性矩,属性
尾楼,空间
普通主肋骨,施工
垂直撑柱,施工
带板宽度,属性
其他拖带,施工
自卸系统,施工
钢质舱棚,空间
吊杆稳索,施工
内肋板,施工
非露天,状态
货舱口边线,进程
半悬挂舵,施工
护舷木条,施工
板厚度,属性
首部舷侧结构,施工
梢子,施工
十字型接头,施工
舵销承座,施工
污水井,空间
总厚度,属性
舷梯,施工
舱,空间
相同,状态
止链器,施工
舷侧外板,施工
基座,施工
围壁结构,施工
壁厚,属性
露天,状态
挂舵臂,施工
锻件,施工
Z向钢钢板,施工
舵销,施工
材质,施工
角焊缝,施工
舱口纵桁,施工
刚度,属性
跨距中点,进程
短甲板室,空间
开口,进程
机座纵桁,施工
材料级别III,成果
尖瘦,状态
防倾肘板,施工
短拖索,施工
纵舱壁上列板,施工
不锈钢,施工
油密肋板,施工
倾覆力矩,属性
车辆甲板,施工
主要支撑构件,施工
扶强构件,施工
垂直桁材,施工
认可,进程
应急拖带装置,施工
大抓力锚,施工
配件,施工
布置图,进程
上层建筑,建筑
绞盘,施工
变化,状态
肋骨,施工
抗转动刚度,属性
水密肋板,施工
梁肘板,施工
隔离舱,空间
标准,成果
集中力,进程
舱口角隅,施工
水平桁材,施工
舭部污水沟,施工
加强构件,施工
加热设备,施工
开口线,进程
压载水,状态
接合处,施工
液货舱,建筑
刚性固定,状态
位置1,进程
导缆装置,施工
截面,进程
型材,施工
上端,进程
面积,属性
直升机轮印载荷,进程
锻钢,施工
平衡舵,施工
管隧,施工
船舶结构,施工
船底桁材,施工
型钢,施工
自卸货系统,施工
轴隧板,施工
甲板骨架强度,属性
舭列板,施工
运河拖带,施工
舵杆螺母,施工
拖船,建筑
封闭装置,施工
焊缝布置,施工
扁钢,施工
直升机,空间
底座,施工
船中部,建筑
连续熔透焊缝,成果
载荷工况,属性
独立平台结构,施工
支撑结构,施工
设计载荷,进程
舵扇,施工
带板,施工
下端,进程
常规船舶,建筑
钢质船,建筑
螺旋桨毂,施工
尾部,进程
连接法兰,施工
甲板室围壁,施工
锚总质量,属性
上甲板,施工
平行焊缝,施工
船尾,建筑
伴航拖带,施工
工业标准,成果
上缘,进程
拖带设备,施工
材料级别,属性
船侧,建筑
纵舱壁,施工
首楼甲板,施工
露天机舱棚,空间
桁架式,施工
外表面,进程
船用配件,施工
甲板结构,施工
板厚,属性
角隅,进程
光滑,状态
型深,属性
铝合金材料,施工
强胸横梁,施工
锚机,空间
安全工作载荷,进程
尾升高甲板,施工
横梁尺寸,属性
上层建筑端部,施工
易燃液体货品,进程
初始板厚,属性
骨架尺寸,属性
吃水,属性
半高旁桁材,施工
拖力点,进程
全通甲板,施工
船底,建筑
应急拖带,施工
锻钢件,施工
间断舷侧纵桁,施工
首尾柱,施工
侧壁,施工
船长,属性
污水沟,空间
最大弯矩,属性
不变,状态
焊缝,施工
导边板,施工
尾管,施工
水密,属性
中纵舱壁,施工
围壁,施工
拖曳设备,施工
长上层建筑,建筑
排空注入法,成果
主机,空间
纵桁腹板,施工
船舶压载水管理计划编制指南,成果
平板龙骨,施工
合成纤维,施工
首尖舱,空间
钢质,属性
钢盖板,施工
横剖面面积,属性
管形支柱,施工
总纵强度,属性
有效跨距,属性
甲板纵骨,施工
救生装置,施工
桥楼,空间
船底骨材,施工
甲板纵桁,施工
纵骨,施工
吊杆,施工
锚头,施工
首垂线,进程
船舶,建筑
纵向连续性,属性
防撞舱壁,施工
线型,属性
轴隧,施工
涂料,施工
末端,进程
垂线,进程
舷侧肋骨,施工
水密平台甲板,施工
长桥楼甲板,施工
属具,施工
舵封板侧板,施工
沥青溶液,施工
水平,状态
材料宽度,属性
吊货杆座,施工
旁桁材,施工
中内龙骨,施工
纵桁肘板,施工
横向构件,施工
首部外飘,施工
肋骨腹板,施工
止动装置,施工
大小,属性
球鼻,施工
垂直隔板,施工
宽度,属性
局部舱壁,施工
尺度,属性
扶强材尺寸,属性
水平肘板,施工
结构强度,属性
最大载荷,进程
锚链筒处,施工
纵桁,施工
键,施工
